filename,Original Area,Original Perimeter,Original m10,Original m01,Original m11,Original m20,Original m02,Convex Hull Area,Convex Hull Perimeter,Convex Hull m10,Convex Hull m01,Convex Hull m11,Convex Hull m20,Convex Hull m02,# of Deficits,Area of Deficits
00000101.png,6412.0,334.4813460111618,310729.8333333333,478993.5,22653041.5,16954374.166666664,42422295.0,6412.0,334.4813460111618,310729.8333333333,478993.5,22653041.5,16954374.166666664,42422295.0,11,3325.5
00000102.png,6116.0,328.6905446052551,288420.5,454572.8333333333,20879401.75,15255872.666666666,40099234.0,6116.0,328.6905446052551,288420.5,454572.8333333333,20879401.75,15255872.666666666,40099234.0,10,3112.4999999999995
00000103.png,5687.5,321.82887053489685,266059.6666666666,414886.1666666666,18933285.458333332,13735894.916666666,36226647.916666664,5687.5,321.82887053489685,266059.6666666666,414886.1666666666,18933285.458333332,13735894.916666666,36226647.916666664,10,2863.0000000000005
00000104.png,5054.0,310.07247853279114,233627.0,361349.8333333333,16363701.083333332,11683096.833333332,31163796.166666664,5054.0,310.07247853279114,233627.0,361349.8333333333,16363701.083333332,11683096.833333332,31163796.166666664,9,2422.5
00000105.png,4387.0,299.802516579628,200840.8333333333,307405.3333333333,13850064.416666666,9740840.5,26300717.833333332,4387.0,299.802516579628,200840.8333333333,307405.3333333333,13850064.416666666,9740840.5,26300717.833333332,12,1690.5000000000005
00000106.png,3685.5,290.9431610107422,164818.16666666666,249905.3333333333,11023013.791666666,7675915.75,21090849.583333332,3685.5,290.9431610107422,164818.16666666666,249905.3333333333,11023013.791666666,7675915.75,21090849.583333332,11,1339.0000000000007
00000107.png,3264.0,285.9688504934311,147111.66666666666,214930.66666666666,9586607.916666666,6829819.666666666,17927554.666666664,3264.0,285.9688504934311,147111.66666666666,214930.66666666666,9586607.916666666,6829819.666666666,17927554.666666664,8,992.0000000000011
00000108.png,3194.5,284.7807422876358,145695.3333333333,207283.3333333333,9382759.208333332,6835975.083333333,17030058.583333332,3194.5,284.7807422876358,145695.3333333333,207283.3333333333,9382759.208333332,6835975.083333333,17030058.583333332,9,784.0000000000001
00000109.png,3490.5,289.79496359825134,158575.5,235028.66666666666,10587406.208333332,7451412.416666666,19877481.25,3490.5,289.79496359825134,158575.5,235028.66666666666,10587406.208333332,7451412.416666666,19877481.25,13,830.5000000000026
00000110.png,3937.5,301.41909301280975,179214.3333333333,274531.5,12424752.125,8517494.916666666,23813189.416666664,3937.5,301.41909301280975,179214.3333333333,274531.5,12424752.125,8517494.916666666,23813189.416666664,11,1532.4999999999968
00000111.png,4544.0,313.8695316314697,210827.0,333815.8333333333,15527788.75,10388579.833333332,29832895.666666664,4544.0,313.8695316314697,210827.0,333815.8333333333,15527788.75,10388579.833333332,29832895.666666664,10,1820.4999999999995
00000112.png,5208.0,323.3995223045349,245733.5,390807.0,18501858.25,12579848.5,35129914.0,5208.0,323.3995223045349,245733.5,390807.0,18501858.25,12579848.5,35129914.0,14,2153.000000000001
00000113.png,5578.0,327.9844512939453,263258.8333333333,425453.5,20143590.25,13697750.0,38422977.166666664,5578.0,327.9844512939453,263258.8333333333,425453.5,20143590.25,13697750.0,38422977.166666664,13,2387.000000000001
00000114.png,5827.0,331.9824028015137,273143.3333333333,448938.3333333333,20989042.833333332,14279785.833333332,40797466.33333333,5827.0,331.9824028015137,273143.3333333333,448938.3333333333,20989042.833333332,14279785.833333332,40797466.33333333,11,2588.500000000002
00000115.png,5739.0,333.82065212726593,261997.16666666666,446692.0,20244526.083333332,13413896.833333332,40875013.0,5739.0,333.82065212726593,261997.16666666666,446692.0,20244526.083333332,13413896.833333332,40875013.0,10,2665.9999999999986
00000116.png,5641.5,335.5874729156494,252540.0,441542.0,19503286.541666664,12715492.75,40636334.416666664,5641.5,335.5874729156494,252540.0,441542.0,19503286.541666664,12715492.75,40636334.416666664,8,3082.5000000000036
00000117.png,5547.0,333.7522486448288,237180.66666666666,433440.3333333333,18119836.5,11495748.166666666,39839891.33333333,5547.0,333.7522486448288,237180.66666666666,433440.3333333333,18119836.5,11495748.166666666,39839891.33333333,7,3250.000000000001
00000118.png,5344.0,330.678853392601,225697.8333333333,413695.1666666666,16995506.666666664,10719132.0,37883136.666666664,5344.0,330.678853392601,225697.8333333333,413695.1666666666,16995506.666666664,10719132.0,37883136.666666664,9,3205.5
00000119.png,4853.5,321.5927813053131,203370.16666666666,368476.0,15038818.958333332,9402385.25,33316676.916666664,4853.5,321.5927813053131,203370.16666666666,368476.0,15038818.958333332,9402385.25,33316676.916666664,8,2579.000000000001
00000120.png,4361.0,310.3803186416626,184111.0,324080.8333333333,13366907.916666666,8377131.166666666,28966718.5,4361.0,310.3803186416626,184111.0,324080.8333333333,13366907.916666666,8377131.166666666,28966718.5,9,2104.0000000000005
00000121.png,3872.5,302.0886197090149,163995.8333333333,280433.3333333333,11622357.625,7330943.25,24833611.583333332,3872.5,302.0886197090149,163995.8333333333,280433.3333333333,11622357.625,7330943.25,24833611.583333332,10,1733.9999999999984
00000122.png,3485.0,293.38188433647156,149031.3333333333,242268.16666666666,10172016.75,6630296.5,21028608.5,3485.0,293.38188433647156,149031.3333333333,242268.16666666666,10172016.75,6630296.5,21028608.5,10,1488.499999999999
00000123.png,3211.5,286.79436695575714,141394.0,215242.16666666666,9379037.708333332,6414927.083333333,18187098.75,3211.5,286.79436695575714,141394.0,215242.16666666666,9379037.708333332,6414927.083333333,18187098.75,7,1075.4999999999995
00000124.png,3316.0,287.10864889621735,150383.5,214606.16666666666,9621324.25,7037606.5,17584232.0,3316.0,287.10864889621735,150383.5,214606.16666666666,9621324.25,7037606.5,17584232.0,10,1110.9999999999943
00000125.png,3925.0,297.46346294879913,180846.3333333333,264717.6666666666,12014671.833333332,8698121.5,22262434.666666664,3925.0,297.46346294879913,180846.3333333333,264717.6666666666,12014671.833333332,8698121.5,22262434.666666664,8,1471.9999999999975
00000126.png,4600.5,308.7095003128052,215142.16666666666,324520.8333333333,15010854.458333332,10655933.416666666,28058595.25,4600.5,308.7095003128052,215142.16666666666,324520.8333333333,15010854.458333332,10655933.416666666,28058595.25,7,2606.4999999999995
00000127.png,5170.5,320.5406256914139,249645.5,379101.0,18225741.458333332,12943007.75,33530008.916666664,5170.5,320.5406256914139,249645.5,379101.0,18225741.458333332,12943007.75,33530008.916666664,7,3013.5
00000128.png,5606.5,326.67338967323303,274170.8333333333,420140.8333333333,20477897.041666664,14610693.25,37550735.58333333,5606.5,326.67338967323303,274170.8333333333,420140.8333333333,20477897.041666664,14610693.25,37550735.58333333,10,2846.499999999999
00000129.png,5870.0,328.78583669662476,288514.0,442084.5,21604945.25,15621278.166666666,39477940.5,5870.0,328.78583669662476,288514.0,442084.5,21604945.25,15621278.166666666,39477940.5,12,2917.500000000002
00000130.png,6023.5,330.4926482439041,293114.8333333333,457199.5,21988615.791666664,15832825.25,41031851.25,6023.5,330.4926482439041,293114.8333333333,457199.5,21988615.791666664,15832825.25,41031851.25,12,3018.0
00000131.png,6011.0,332.7453191280365,285137.8333333333,459388.0,21418599.583333332,15123596.5,41382005.83333333,6011.0,332.7453191280365,285137.8333333333,459388.0,21418599.583333332,15123596.5,41382005.83333333,10,3194.0
00000132.png,5917.5,331.4514853954315,273996.8333333333,449398.3333333333,20356756.625,14195383.083333332,40366627.416666664,5917.5,331.4514853954315,273996.8333333333,449398.3333333333,20356756.625,14195383.083333332,40366627.416666664,9,3372.0
00000133.png,5647.0,325.3100913763046,255968.3333333333,426495.1666666666,18871901.583333332,12919601.0,38141601.0,5647.0,325.3100913763046,255968.3333333333,426495.1666666666,18871901.583333332,12919601.0,38141601.0,6,3127.000000000001
00000134.png,5028.0,317.5942796468735,224585.66666666666,374693.0,16359496.416666666,10942079.166666666,33342330.833333332,5028.0,317.5942796468735,224585.66666666666,374693.0,16359496.416666666,10942079.166666666,33342330.833333332,7,2732.500000000001
00000135.png,4415.5,307.41332280635834,196412.66666666666,322034.5,14074872.208333332,9326531.083333332,28375292.916666664,4415.5,307.41332280635834,196412.66666666666,322034.5,14074872.208333332,9326531.083333332,28375292.916666664,6,2038.5000000000005
00000136.png,3726.5,297.7518684864044,162814.66666666666,266085.3333333333,11464280.208333332,7448913.25,23273457.416666664,3726.5,297.7518684864044,162814.66666666666,266085.3333333333,11464280.208333332,7448913.25,23273457.416666664,8,1600.500000000001
00000137.png,3109.5,289.5976071357727,134756.66666666666,215116.5,9197964.208333332,6023676.416666666,18585100.25,3109.5,289.5976071357727,134756.66666666666,215116.5,9197964.208333332,6023676.416666666,18585100.25,6,1265.4999999999995
00000138.png,3010.5,286.4087096452713,135339.0,202039.8333333333,9001810.958333332,6237709.916666666,17147667.25,3010.5,286.4087096452713,135339.0,202039.8333333333,9001810.958333332,6237709.916666666,17147667.25,6,987.5000000000018
00000139.png,2953.0,286.18109929561615,134471.0,196200.0,8861627.666666666,6272888.333333333,16466335.666666666,2953.0,286.18109929561615,134471.0,196200.0,8861627.666666666,6272888.333333333,16466335.666666666,7,799.9999999999998
00000140.png,3367.5,294.2102175951004,152336.16666666666,235245.16666666666,10565563.125,7116110.916666666,20435778.75,3367.5,294.2102175951004,152336.16666666666,235245.16666666666,10565563.125,7116110.916666666,20435778.75,7,1142.0000000000007
00000141.png,3953.5,304.7028257846832,176401.66666666666,288473.3333333333,12818035.708333332,8268950.583333333,25604760.416666664,3953.5,304.7028257846832,176401.66666666666,288473.3333333333,12818035.708333332,8268950.583333333,25604760.416666664,7,1635.4999999999998
00000142.png,4728.0,314.9917862415314,213881.0,351087.0,15917599.0,10398066.833333332,31294432.833333332,4728.0,314.9917862415314,213881.0,351087.0,15917599.0,10398066.833333332,31294432.833333332,8,2191.5000000000005
00000143.png,5394.5,322.7039877176285,245441.66666666666,404515.1666666666,18468195.875,12278130.583333332,36125011.916666664,5394.5,322.7039877176285,245441.66666666666,404515.1666666666,18468195.875,12278130.583333332,36125011.916666664,11,2447.500000000002
00000144.png,5619.5,326.042307138443,253411.8333333333,427124.3333333333,19306769.375,12720398.916666666,38386260.25,5619.5,326.042307138443,253411.8333333333,427124.3333333333,19306769.375,12720398.916666666,38386260.25,10,2605.999999999999
00000145.png,5813.0,328.67721939086914,260740.5,446925.8333333333,20114105.0,13157482.833333332,40392622.83333333,5813.0,328.67721939086914,260740.5,446925.8333333333,20114105.0,13157482.833333332,40392622.83333333,8,2799.999999999996
